Year;Month;Day type;Time;Appliances;Power (MW)
2015;9;weekend;01:00:00;Others;221.6987906
2015;9;weekend;02:00:00;Others;197.4295889
2015;9;weekend;03:00:00;Others;225.4347614
2015;9;weekend;04:00:00;Others;216.2212519
2015;9;weekend;05:00:00;Others;231.4153224
2015;9;weekend;06:00:00;Others;241.4390994
2015;9;weekend;07:00:00;Others;209.5929819
2015;9;weekend;08:00:00;Others;259.6381007
2015;9;weekend;09:00:00;Others;299.8724163
2015;9;weekend;10:00:00;Others;336.3305984
2015;9;weekend;11:00:00;Others;480.7670443
2015;9;weekend;12:00:00;Others;406.4007403
2015;9;weekend;13:00:00;Others;277.6735212
2015;9;weekend;14:00:00;Others;293.5367938
2015;9;weekend;15:00:00;Others;271.2199217
2015;9;weekend;16:00:00;Others;184.7551388
2015;9;weekend;17:00:00;Others;193.0232184
2015;9;weekend;18:00:00;Others;281.7071105
2015;9;weekend;19:00:00;Others;245.0010133
2015;9;weekend;20:00:00;Others;205.2049354
2015;9;weekend;21:00:00;Others;127.3795245
2015;9;weekend;22:00:00;Others;146.2019752
2015;9;weekend;23:00:00;Others;208.8461164
2015;10;weekend;00:00:00;Others;272.7451036
2015;10;weekend;01:00:00;Others;221.6987906
2015;10;weekend;02:00:00;Others;197.4295889
2015;10;weekend;03:00:00;Others;225.4347614
2015;10;weekend;04:00:00;Others;216.2212519
2015;10;weekend;05:00:00;Others;231.4153224
2015;10;weekend;06:00:00;Others;241.4390994
2015;10;weekend;07:00:00;Others;209.5929819
2015;10;weekend;08:00:00;Others;259.6381007
2015;10;weekend;09:00:00;Others;299.8724163
2015;10;weekend;10:00:00;Others;336.3305984
2015;10;weekend;11:00:00;Others;480.7670443
2015;10;weekend;12:00:00;Others;406.4007403
2015;10;weekend;13:00:00;Others;277.6735212
2015;10;weekend;14:00:00;Others;293.5367938
2015;10;weekend;15:00:00;Others;271.2199217
2015;10;weekend;16:00:00;Others;184.7551388
2015;10;weekend;17:00:00;Others;193.0232184
2015;10;weekend;18:00:00;Others;281.7071105
2015;10;weekend;19:00:00;Others;245.0010133
2015;10;weekend;20:00:00;Others;205.2049354
2015;10;weekend;21:00:00;Others;127.3795245
2015;10;weekend;22:00:00;Others;146.2019752
2015;10;weekend;23:00:00;Others;208.8461164
2015;11;weekend;00:00:00;Others;272.7451036
2015;11;weekend;01:00:00;Others;221.6987906
2015;11;weekend;02:00:00;Others;197.4295889
2015;11;weekend;03:00:00;Others;225.4347614
2015;11;weekend;04:00:00;Others;216.2212519
2015;11;weekend;05:00:00;Others;231.4153224
2015;11;weekend;06:00:00;Others;241.4390994
2015;11;weekend;07:00:00;Others;209.5929819
2015;11;weekend;08:00:00;Others;259.6381007
2015;11;weekend;09:00:00;Others;299.8724163
2015;11;weekend;10:00:00;Others;336.3305984
2015;11;weekend;11:00:00;Others;480.7670443
2015;11;weekend;12:00:00;Others;406.4007403
2015;11;weekend;13:00:00;Others;277.6735212
2015;11;weekend;14:00:00;Others;293.5367938
2015;11;weekend;15:00:00;Others;271.2199217
2015;11;weekend;16:00:00;Others;184.7551388
2015;11;weekend;17:00:00;Others;193.0232184
2015;11;weekend;18:00:00;Others;281.7071105
2015;11;weekend;19:00:00;Others;245.0010133
2015;11;weekend;20:00:00;Others;205.2049354
2015;11;weekend;21:00:00;Others;127.3795245
2015;11;weekend;22:00:00;Others;146.2019752
2015;11;weekend;23:00:00;Others;208.8461164
2015;12;weekend;00:00:00;Others;272.7451036
2015;12;weekend;01:00:00;Others;221.6987906
2015;12;weekend;02:00:00;Others;197.4295889
2015;12;weekend;03:00:00;Others;225.4347614
2015;12;weekend;04:00:00;Others;216.2212519
2015;12;weekend;05:00:00;Others;231.4153224
2015;12;weekend;06:00:00;Others;241.4390994
2015;12;weekend;07:00:00;Others;209.5929819
2015;12;weekend;08:00:00;Others;259.6381007
2015;12;weekend;09:00:00;Others;299.8724163
2015;12;weekend;10:00:00;Others;336.3305984
