timestamp,Geschirrspüler
2024-06-19 04:45:00,0.01682176625
2024-06-19 05:00:00,1.1469742708
2024-06-19 05:15:00,1.1469742708
2024-06-19 05:30:00,1.1469742708
2024-06-19 05:45:00,1.1469742708
2024-06-19 06:00:00,5.190108414500001
2024-06-19 06:15:00,5.190108414500001
2024-06-19 06:30:00,5.190108414500001
2024-06-19 06:45:00,5.190108414500001
2024-06-19 07:00:00,24.954722498
2024-06-19 07:15:00,24.954722498
2024-06-19 07:30:00,24.954722498
2024-06-19 07:45:00,24.954722498
2024-06-19 08:00:00,64.17806700450001
2024-06-19 08:15:00,64.17806700450001
2024-06-19 08:30:00,64.17806700450001
2024-06-19 08:45:00,64.17806700450001
2024-06-19 09:00:00,96.8033845065
2024-06-19 09:15:00,96.8033845065
2024-06-19 09:30:00,96.8033845065
2024-06-19 09:45:00,96.8033845065
2024-06-19 10:00:00,80.02804622400001
2024-06-19 10:15:00,80.02804622400001
2024-06-19 10:30:00,80.02804622400001
2024-06-19 10:45:00,80.02804622400001
2024-06-19 11:00:00,44.0870687255
2024-06-19 11:15:00,44.0870687255
2024-06-19 11:30:00,44.0870687255
2024-06-19 11:45:00,44.0870687255
2024-06-19 12:00:00,43.7728187005
2024-06-19 12:15:00,43.7728187005
2024-06-19 12:30:00,43.7728187005
2024-06-19 12:45:00,43.7728187005
2024-06-19 13:00:00,220.98277656
2024-06-19 13:15:00,220.98277656
2024-06-19 13:30:00,220.98277656
2024-06-19 13:45:00,220.98277656
2024-06-19 14:00:00,282.23883026500005
2024-06-19 14:15:00,282.23883026500005
2024-06-19 14:30:00,282.23883026500005
2024-06-19 14:45:00,282.23883026500005
2024-06-19 15:00:00,129.12120206499998
2024-06-19 15:15:00,129.12120206499998
